mode,date,tap,loc,count
bus,20160814,on,2095,3317
bus,20160814,on,2094,110
bus,20160814,on,2097,755
bus,20160814,on,2096,416
bus,20160814,on,2090,1255
bus,20160814,on,2093,1440
bus,20160814,on,2092,216
bus,20160814,on,2099,3389
bus,20160814,on,2323,69
bus,20160814,on,2320,118
bus,20160814,on,2325,39
bus,20160814,on,2324,78
bus,20160814,on,2529,203
bus,20160814,on,2528,181
bus,20160814,on,2154,2013
bus,20160814,on,2155,1399
bus,20160814,on,2171,219
bus,20160814,on,2019,590
bus,20160814,on,2018,1826
bus,20160814,on,2152,301
bus,20160814,on,2153,1632
bus,20160814,on,2015,1125
bus,20160814,on,2745,112
bus,20160814,on,2017,3679
bus,20160814,on,2016,1852
bus,20160814,on,2011,738
bus,20160814,on,2010,8543
bus,20160814,on,2767,435
bus,20160814,on,2747,296
bus,20160814,on,2525,149
bus,20160814,on,2508,240
bus,20160814,on,2262,50
bus,20160814,on,2263,314
bus,20160814,on,2260,140
bus,20160814,on,2515,40
bus,20160814,on,2261,951
bus,20160814,on,2761,394
bus,20160814,on,2316,39
bus,20160814,on,2317,57
bus,20160814,on,2315,94
bus,20160814,on,2502,300
bus,20160814,on,2068,1114
bus,20160814,on,2069,261
bus,20160814,on,2145,1602
bus,20160814,on,2144,544
bus,20160814,on,-1,562
bus,20160814,on,2142,791
bus,20160814,on,2141,1105
bus,20160814,on,2140,1066
bus,20160814,on,2060,2019
bus,20160814,on,2061,177
bus,20160814,on,2062,306
bus,20160814,on,2063,280
bus,20160814,on,2064,364
bus,20160814,on,2065,2646
bus,20160814,on,2066,1961
bus,20160814,on,2067,4201
bus,20160814,on,2770,1879
bus,20160814,on,2766,124
bus,20160814,on,2768,663
bus,20160814,on,2517,57
bus,20160814,on,2147,742
bus,20160814,on,2500,968
bus,20160814,on,2146,281
bus,20160814,on,2300,680
bus,20160814,on,2303,255
bus,20160814,on,2302,356
bus,20160814,on,2305,161
bus,20160814,on,2304,316
bus,20160814,on,2307,58
bus,20160814,on,2306,55
bus,20160814,on,2173,121
bus,20160814,on,2170,3207
bus,20160814,on,2027,335
bus,20160814,on,2176,1288
bus,20160814,on,2177,203
bus,20160814,on,2073,140
bus,20160814,on,2072,353
bus,20160814,on,2071,35
bus,20160814,on,2070,75
bus,20160814,on,2077,721
bus,20160814,on,2076,160
bus,20160814,on,2075,375
bus,20160814,on,2074,246
bus,20160814,on,2289,336
bus,20160814,on,2769,44
bus,20160814,on,2760,542
bus,20160814,on,2259,657
bus,20160814,on,2559,82
bus,20160814,on,2280,348
bus,20160814,on,2281,123
bus,20160814,on,2282,39
bus,20160814,on,2283,127
bus,20160814,on,2284,207
bus,20160814,on,2285,194
bus,20160814,on,2287,530
bus,20160814,on,2257,427
bus,20160814,on,2526,153
bus,20160814,on,2256,601
bus,20160814,on,2046,1336
