"loc","lon","lat"
"Jannali Station",151.0646691,-34.01637
"Town Hall Station",151.2062183,-33.8732664
"Wollongong Station",150.8883194,-34.4269596
"Allawah Station",151.1145487,-33.96973
"Narwee Station",151.0706404,-33.9477025
"Artarmon Station",151.1851338,-33.8088462
"Macarthur Station",150.7972558,-34.0719629
"Kogarah Station",151.1325135,-33.9627547
"St Peters Station",151.1806748,-33.9072122
"Wentworthville Station",150.9725436,-33.8070993
"Macquarie Park Station",151.1286116,-33.7855018
"Guildford Station",150.9843831,-33.8542423
"Museum Station",151.2098155,-33.8766329
"Waitara Station",151.1046851,-33.7102024
"Central Station",151.2065819,-33.8826209
"Domestic Station",151.1807518,-33.9337438
"Mortdale Station",151.0809917,-33.9710834
"Cronulla Station",151.1515177,-34.0557489
"Sutherland Station",151.0573477,-34.0315181
"Merrylands Station",150.99253,-33.8365126
"Olympic Park Station",151.0695205,-33.8465207
"Bondi Junction Station",151.2484687,-33.8910387
"Flemington Station",151.0703883,-33.8650036
"Edgecliff Station",151.2367353,-33.8797328
"Gordon Station",151.1544776,-33.7561101
"Meadowbank Station",151.0899934,-33.8159324
"Roseville Station",151.1774016,-33.78431
"Liverpool Station",150.9273111,-33.9247834
"Concord West Station",151.0856552,-33.848586
"North Wollongong Station",150.8914396,-34.4121422
"Auburn Station",151.0327747,-33.8493342
"Circular Quay Station",151.2108216,-33.8613056
"Killara Station",151.1618233,-33.7656638
"Milsons Point Station",151.2118196,-33.8458845
"Cabramatta Station",150.9388232,-33.8947601
"North Sydney Station",151.2074215,-33.8411482
"Macquarie University Station",151.1185824,-33.7775092
"Riverwood Station",151.0524923,-33.9514511
"Wolli Creek Station",151.1540101,-33.9285672
"Cardiff Station",151.6625684,-32.9414784
"Mascot Station",151.187339,-33.9232436
"Hurstville Station",151.1023145,-33.9676282
"Gosford Station",151.3418589,-33.423474
"Martin Place Station",151.211503,-33.867969
"Wynyard Station",151.2061878,-33.8657423
"Woy Woy Station",151.3233311,-33.4857299
"Rockdale Station",151.1366347,-33.9521845
"Erskineville Station",151.1855234,-33.9000826
"Eastwood Station",151.0822352,-33.7901317
"Granville Station",151.0119027,-33.8327926
"St James Station",151.2110216,-33.8703211
"Chatswood Station",151.1806876,-33.7967905
"Blacktown Station",150.9072636,-33.7685054
"Epping Station",151.082121,-33.7727449
"Arncliffe Station",151.1471044,-33.9368139
"Green Square Station",151.2024366,-33.906269
"Campbelltown Station",150.8145699,-34.0634601
"Waverton Station",151.1973732,-33.8376726
"Canley Vale Station",150.9434962,-33.8873656
"North Strathfield Station",151.0881755,-33.8588552
"Wollstonecraft Station",151.1918642,-33.8319314
"West Ryde Station",151.0858907,-33.8114251
"Sydenham Station",151.1660651,-33.9148294
"Homebush Station",151.0861296,-33.8666811
"Strathfield Station",151.0942856,-33.871672
"Pennant Hills Station",151.072736,-33.7377077
"Kings Cross Station",151.2220566,-33.8745073
"Penshurst Station",151.0888473,-33.966209
"Redfern Station",151.1987696,-33.8916355
"Parramatta Station",151.0048271,-33.817225
"Fairfield Station",150.9572535,-33.872245
"Westmead Station",150.9878994,-33.8084371
"International Station",151.1673612,-33.9172502
"Glenfield Station",150.8932517,-33.9721917
"Lidcombe Station",151.0451298,-33.8637558
"Turramurra Station",151.1286964,-33.7326649
"Miranda Station",151.1025719,-34.0363093
"Carlton Station",151.1243625,-33.9682746
"Lindfield Station",151.1690916,-33.775167
"Rhodes Station",151.0870736,-33.8305698
"Mount Druitt Station",150.8201259,-33.769558
"Burwood Station",151.1039008,-33.8770386
"Harris Park Station",151.0076587,-33.8233073
"Pendle Hill Station",150.9564949,-33.8015336
"Seven Hills Station",150.9361383,-33.7742997
"Hornsby Station",151.0984468,-33.7032647
"St Leonards Station",151.1941478,-33.822727
"Penrith Station",150.6964373,-33.7500789
"Padstow Station",151.0321766,-33.9519169
"Revesby Station",151.0153257,-33.9524956
"Toongabbie Station",150.9514665,-33.7872594
"St Marys Station",150.7751473,-33.7620945
"Beecroft Station",151.0666703,-33.7494775
"Rooty Hill Station",150.8446147,-33.7716171
"Gymea Station",151.0853555,-34.0348123
"Hamilton Station",151.7484659,-32.9184823
"Katoomba Station",150.3113313,-33.7118547
"Wentworth Falls Station",150.3763691,-33.7094522
"Caringbah Station",151.1221247,-34.041611
"Kingsgrove Station",151.1005996,-33.9405075
"Thirroul Station",150.918912,-34.3180156
"Wahroonga Station",151.1172069,-33.7177411
"Ingleburn Station",150.8641549,-33.997714
"Turrella Station",151.1399518,-33.9298449
"Pymble Station",151.1452496,-33.739
"Kingswood Station",150.7200203,-33.7583004
"Warwick Farm Station",150.9350012,-33.9131522
"Kiama Station",150.8546243,-34.6725534
"Minto Station",150.8423981,-34.0275182
"Engadine Station",151.0147784,-34.0678037
"Werrington Station",150.7576481,-33.7591687
"Bowral Station",150.4168956,-34.4779051
"Broadmeadow Station",151.7340058,-32.9232749
"Leumeah Station",150.8305294,-34.0508435
"Morisset Station",151.4878595,-33.1089992
"Thornleigh Station",151.0782158,-33.7318138
"Oatley Station",151.0789913,-33.9801332
"Beverly Hills Station",151.0810102,-33.9490886
"Schofields Station",150.8741571,-33.7044944
"Moss Vale Station",150.371827,-34.547926
"Quakers Hill Station",150.886186,-33.7274173
"Holsworthy Station",150.9564824,-33.9632023
"Wyong Station",151.4252734,-33.2855746
"Kirrawee Station",151.0712604,-34.0349562
"Doonside Station",150.868858,-33.7638836
"Como Station",151.0681421,-34.0045866
